Is Retweet,Is Reply,,Tweet Text,Tweet Day,Tweet Time,Tweet Id,Tweet Source,Tweet Retweet Count,Tweet Favorite Count
No,No,,The @TuckerCarlson opening statement about our once cherished and great FBI was so sad to watch. James Comey's leadership was a disaster!,Friday,03/11/2017 1:26,9.26E+17,Twitter for iPhone,17252,64791
No,No,,....This is real collusion and dishonesty. Major violation of Campaign Finance Laws and Money Laundering - where is our Justice Department?,Friday,03/11/2017 0:48,9.26E+17,Twitter for iPhone,25526,91777
No,No,,Donna Brazile just stated the DNC RIGGED the system to illegally steal the Primary from Bernie Sanders. Bought and paid for by Crooked H....,Friday,03/11/2017 0:39,9.26E+17,Twitter for iPhone,24556,83472
No,No,,"Great Tax Cut rollout today. The lobbyists are storming Capital Hill, but the Republicans will hold strong and do what is right for America!",Friday,03/11/2017 0:05,9.26E+17,Twitter for iPhone,13371,64703
No,No,,"Today, it was my pleasure and great honor to announce my nomination of Jerome Powell to be the next Chairman of the… https://t.co/32kLFYbbuq",Thursday,02/11/2017 22:35,9.26E+17,Twitter for iPhone,9463,43409
No,No,,"Broadcom's move to America=$20 BILLION of annual rev into U.S.A., $3+ BILLION/yr. in research/engineering &amp;amp; $6 BILL… https://t.co/0PUrl6k86K",Thursday,02/11/2017 20:33,9.26E+17,Twitter for iPad,14122,55914
No,No,,"Today, we are thrilled to welcome @Broadcom CEO Hock Tan to the WH to announce he is moving their HQ’s from Singapo… https://t.co/iSUzEbrn0c",Thursday,02/11/2017 19:58,9.26E+17,Twitter for iPad,10662,46728
No,No,,Congress must end chain migration so that we can have a system that is SECURITY BASED! We need to make AMERICA SAFE… https://t.co/nxEDGfXlV9,Thursday,02/11/2017 18:43,9.26E+17,Twitter for iPhone,13683,54920
No,No,,I am calling on Congress to TERMINATE the diversity visa lottery program that presents significant vulnerabilities… https://t.co/GcHKCxTNyF,Thursday,02/11/2017 18:33,9.26E+17,Twitter for iPhone,18216,74740
No,No,,"Congratulations to the Houston @Astros, 2017 #WorldSeries Champions⚾️#HoustonStrong #EarnHistory https://t.co/BP7OEzdhFi",Thursday,02/11/2017 17:31,9.26E+17,Twitter for iPad,11545,55885
No,No,,...There is also something appropriate about keeping him in the home of the horrible crime he committed. Should move fast. DEATH PENALTY!,Thursday,02/11/2017 11:54,9.26E+17,Twitter for iPhone,17439,85307
No,No,,Would love to send the NYC terrorist to Guantanamo but statistically that process takes much longer than going through the Federal system...,Thursday,02/11/2017 11:50,9.26E+17,Twitter for iPhone,14041,70592
